No.,Time,Length,Length
1,0.000000,76,76
2,0.000008,56,56
3,0.000080,76,76
4,0.000083,56,56
5,13.420882,76,76
6,13.420910,76,76
7,13.420933,68,68
8,13.421928,32809,32809
9,13.421936,68,68
10,13.421949,32809,32809
11,13.465330,68,68
12,13.677094,16068,16068
13,13.677140,68,68
14,13.888956,68,68
15,13.888993,68,68
16,14.097050,68,68
17,14.097061,16809,16809
18,14.097070,68,68
19,14.328943,24004,24004
20,14.328979,68,68
21,14.536907,68,68
22,14.536920,68,68
23,14.968863,68,68
24,15.031253,68,68
25,15.031282,8873,8873
26,15.031301,32809,32809
27,15.031332,68,68
28,15.072938,68,68
29,15.072980,32809,32809
30,15.117089,68,68
31,15.340913,11588,11588
32,15.341049,68,68
33,15.556880,68,68
34,15.556912,68,68
35,15.938075,68,68
36,15.938100,21289,21289
37,15.938116,32809,32809
38,15.938145,68,68
39,15.943551,68,68
33,0.307787,68,68
34,0.313911,580,580
35,0.313938,68,68
36,0.320064,580,580
37,0.320089,68,68
38,0.326696,580,580
39,0.326730,68,68
40,0.333188,580,580
41,0.333220,68,68
42,0.339764,580,580
43,0.339790,68,68
44,0.346280,580,580
45,0.346312,68,68
46,0.352543,580,580
47,0.352570,68,68
48,0.358796,580,580
49,0.358821,68,68
50,0.365476,580,580
51,0.365512,68,68
52,0.371930,580,580
53,0.371956,68,68
54,0.378048,580,580
55,0.378074,68,68
56,0.384146,580,580
57,0.384171,68,68
58,0.390680,580,580
66,18.160990,836,836
67,18.160997,68,68
68,18.380920,68,68
69,18.380927,68,68
70,18.836924,68,68
71,18.901396,68,68
72,18.901429,32041,32041
73,18.901448,32809,32809
74,18.901484,68,68
75,18.945106,68,68
76,19.164884,1092,1092
77,19.164912,68,68
78,19.384959,68,68
79,19.384999,68,68
80,19.603956,68,68
81,19.603983,31785,31785
82,19.603998,32809,32809
83,19.604029,68,68
84,19.644948,68,68
85,19.864880,1348,1348
86,19.864923,68,68
87,20.084930,68,68
88,20.084960,68,68
89,20.294557,68,68
90,20.294577,31529,31529
91,20.294588,32809,32809
92,20.294608,68,68
93,20.299814,68,68
94,20.299830,32809,32809
95,20.340918,68,68
96,20.561158,324,324
97,20.561175,68,68
98,20.780932,68,68
99,20.780950,68,68
100,21.236932,68,68
101,21.307264,68,68
102,21.307272,32553,32553
103,21.307279,32809,32809
104,21.307291,68,68
105,21.348912,68,68
106,21.568946,580,580
107,21.568980,68,68
108,21.788890,68,68
109,21.788905,68,68
110,22.000405,68,68
111,22.000446,32297,32297
112,22.000467,32809,32809
113,22.000511,68,68
114,22.040946,68,68
115,22.260947,836,836
116,22.260978,68,68
117,22.480922,68,68
118,22.480939,68,68
119,22.695655,68,68
120,22.695673,32041,32041
121,22.695682,32809,32809
122,22.695699,68,68
123,22.737135,68,68
124,22.957017,1092,1092
125,22.957026,68,68
126,23.176933,68,68
127,23.176968,68,68
128,23.386735,68,68
129,23.386754,31785,31785
130,23.386762,32809,32809
131,23.386779,68,68
132,23.429156,68,68
133,23.648965,1348,1348
134,23.648993,68,68
135,23.872879,68,68
136,23.872902,68,68
137,24.072377,68,68
138,24.072393,31529,31529
139,24.072402,32809,32809
140,24.072416,68,68
141,24.077634,68,68
142,24.077652,32809,32809
143,24.120982,68,68
144,24.344916,324,324
145,24.344935,68,68
146,24.564950,68,68
147,24.564971,68,68
148,25.012940,68,68
149,25.090061,68,68
150,25.090071,32553,32553
151,25.090076,32809,32809
152,25.090088,68,68
153,25.132999,68,68
154,25.352963,580,580
155,25.352994,68,68
156,25.573092,68,68
157,25.573128,68,68
158,25.785791,68,68
159,25.785827,32297,32297
160,25.785845,32809,32809
161,25.785881,68,68
162,25.829023,68,68
163,26.048942,836,836
164,26.048971,68,68
165,26.269062,68,68
166,26.269098,68,68
167,26.488957,68,68
168,26.488991,32041,32041
169,26.489008,32809,32809
170,26.489043,68,68
171,26.532881,68,68
172,26.756972,1092,1092
173,26.756991,68,68
174,26.976932,68,68
175,26.976947,68,68
176,27.176514,68,68
177,27.176523,31785,31785
178,27.176530,32809,32809
179,27.176540,68,68
180,27.216864,68,68
181,27.436944,1348,1348
182,27.436975,68,68
183,27.660900,68,68
184,27.660912,68,68
185,27.872635,68,68
186,27.872664,31529,31529
187,27.872680,32809,32809
188,27.872728,68,68
189,27.878326,68,68
190,27.878369,32809,32809
191,27.920932,68,68
192,28.140910,324,324
193,28.140942,68,68
194,28.364877,68,68
195,28.364900,68,68
196,28.821012,68,68
197,28.900247,68,68
198,28.900283,32553,32553
199,28.900301,32809,32809
200,28.900336,68,68
201,28.940873,68,68
202,29.160881,580,580
203,29.160904,68,68
204,29.380905,68,68
205,29.380913,68,68
206,29.597929,68,68
207,29.597954,32297,32297
208,29.597960,32809,32809
209,29.597972,68,68
210,29.640971,68,68
211,29.861063,836,836
212,29.861100,68,68
213,30.080951,68,68
214,30.081004,68,68
215,30.287597,68,68
216,30.287606,32041,32041
217,30.287612,32809,32809
218,30.287621,68,68
219,30.328968,68,68
220,30.548952,1092,1092
221,30.548981,68,68
222,30.768887,68,68
223,30.768895,68,68
224,30.968088,68,68
225,30.968117,31785,31785
226,30.968133,32809,32809
227,30.968167,68,68
228,31.008911,68,68
229,31.228932,1348,1348
230,31.228957,68,68
231,31.448954,68,68
232,31.448972,68,68
233,31.663599,68,68
234,31.663631,31529,31529
235,31.663648,32809,32809
236,31.663694,68,68
237,31.669029,68,68
238,31.669063,32809,32809
239,31.713109,68,68
240,31.932929,324,324
241,31.932963,68,68
242,32.153158,68,68
243,32.153192,68,68
244,32.597159,68,68
245,32.688962,68,68
246,32.688980,32553,32553
247,32.688991,32809,32809
248,32.689012,68,68
249,32.732970,68,68
250,32.952980,580,580
251,32.953022,68,68
252,33.172957,68,68
253,33.172985,68,68
254,33.389780,68,68
255,33.389814,32297,32297
256,33.389830,32809,32809
257,33.389866,68,68
258,33.432880,68,68
259,33.653370,836,836
260,33.653382,68,68
261,33.872933,68,68
262,33.872943,68,68
263,34.085909,68,68
264,34.085921,32041,32041
265,34.085927,32809,32809
266,34.085939,68,68
267,34.129143,68,68
268,34.352929,1092,1092
269,34.352959,68,68
270,34.573117,68,68
271,34.573149,68,68
272,34.778650,68,68
273,34.778681,31785,31785
274,34.778697,32809,32809
275,34.778732,68,68
276,34.824903,68,68
277,35.048916,1348,1348
278,35.048926,68,68
279,35.268870,68,68
280,35.268888,68,68
281,35.464898,68,68
282,35.464929,31529,31529
283,35.464946,32809,32809
284,35.464980,68,68
285,35.470282,68,68
286,35.470307,32809,32809
287,35.512911,68,68
288,35.732967,324,324
289,35.732996,68,68
290,35.952869,68,68
291,35.952881,68,68
292,36.404949,68,68
293,36.466298,68,68
294,36.466332,32553,32553
295,36.466350,32809,32809
296,36.466385,68,68
297,36.508867,68,68
298,36.729198,580,580
299,36.729216,68,68
300,36.949152,68,68
301,36.949168,68,68
302,37.154310,68,68
303,37.154328,32297,32297
304,37.154337,32809,32809
305,37.154353,68,68
306,37.196944,68,68
307,37.417182,836,836
308,37.417208,68,68
309,37.636930,68,68
310,37.636969,68,68
311,37.845283,68,68
312,37.845313,32041,32041
313,37.845330,32809,32809
314,37.845365,68,68
315,37.888943,68,68
316,38.112960,1092,1092
317,38.112999,68,68
318,38.333117,68,68
319,38.333136,68,68
320,38.533960,68,68
321,38.533973,31785,31785
322,38.533981,32809,32809
323,38.533995,68,68
324,38.577172,68,68
325,38.801079,1348,1348
326,38.801093,68,68
327,39.020903,68,68
328,39.020913,68,68
329,39.214415,68,68
330,39.214427,31529,31529
331,39.214434,32809,32809
